"Name","Definition","Status","Related Terms","Synonyms","Acronym","Experts","Stewards","Resources","[Attribute][Business Glossary]Domain","[Attribute][Business Glossary]Equivalent Phrases","[Attribute][Business Glossary]System-Table-Field"
"Exchange Valuation Indicator","Indicator that specifies if standard inventory valuation for exchange-
related goods receipts is to be performed.
If the indicator is set, the inventory for exchange-related goods
receipts is valuated with the purchase order net price, which may be
from a price reference plant, if configured (Standard valuation).
If the indicator is not set, the inventory for exchange-related goods
receipts is valuated with the material price of the valuation segment
MBEW. In the case where no inventory is found in the valuation segment,
the standard valuation is performed anyway (Exchange valuation).","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Site","","MDG-T001W-OILIVAL"
"Industry System","Serves to combine and categorize several industries into a group.
Use
You can create different industry systems, each with its own catalog of industries, whereby an industry can be assigned to several industry systems.
You have to select one industry system as the standard industry system. This is then automatically displayed in the initial screen for the maintenance of industry data.
You can define an industry system along with its description in Customizing. You can assign several industry systems to a business partner.
If you choose the button All Industry Systems, you can access all the industry systems defined in the Customizing using the input help.","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Supplier","Ind System","MDG-BUT0IS-ISTYPE"
"Dye  Code (APS)","
A UNIQUE IDENTIFIER assigned TO a NATURAL OR synthetic substance that can be used TO COLOR a textile  most often applied AS a liquid
","Approved","","","","","Catherine.Brown@hanes.com:Cathy Brown;","","Material-Product","","APS-BILL_OF_MTRLS-DYE_CD"
"ORDER QUANTITY  ","Amount of material the customer is ordering / returning","Approved","","","","","Charlie.Crews@hanes.com:Charlie Crews - Director, Enterprise Data & Governance;","","General","",""
"Attribution Indicator (APS)","Indicator If Plant Is An Attribution Plant","Approved","","","","","Catherine.Brown@hanes.com:Cathy Brown;","","Site","","APS-PLANT-ATTRIBUTION IND"
"LOGICAL PO NO","The PO number that ties a group of sales orders together","Approved","","","","","Charlie.Crews@hanes.com:Charlie Crews - Director, Enterprise Data & Governance;","","General","",""
"Prod feature shorts inseam","Product feature representing shorts inseam","Approved","","","","Lane.Bryant@hanes.com:PRODUCT DEV Lane Bryant (Sr Mgr);","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Material-Product","","MDG-MARA-ZZPRODFEATURE_SHORTSINSEAM"
"Mandatory Attribute Source Production (IBP)","","Approved","","","","","dean.spriegel@hanes.com:Dean Spriegel - Planning Domain Lead;","","Planning","","IBP-Production Source-MATTRSOURCEPRODUCTION"
"Accounting Clerk","Identification code for the accounting clerk. The name of the accounting clerk defined by this identification code can be used in the payment program for correspondence and reporting (for example, open item lists).","Draft","","Accounting Clerk (AFS);Accounting Clerk;","","Teresa.Fisher@hanes.com: Sr Mgr Global Transacton Services;","Kimberly.Beardsley@hanes.com:Kim Beardsley-Customer Domain Lead;","","Customer","Accounting Clerk","MDG-KNB1-BUSAB"
"Company  Code (APS)","The corporate division code is assigned to the division that gets margin dollars for making the sell and actually owns the style.  
 ","Approved","","","","","Cassandra.Martin@hanes.com:Cassandra Martin - Finance Domain Lead;","","Finance","","APS-CORP_DIVISION-COMPANY_CD"
"PRODUCTION SUPERVISOR","Group/person responsible for controlling the production of a material","Approved","","","","","Charlie.Crews@hanes.com:Charlie Crews - Director, Enterprise Data & Governance;","","General","",""
"Production Source Receipts Balancing Scope (IBP)","Set the attribute value 1 to exclude location sources with quotas of zero percent from receipts balancing","Approved","","","","","dean.spriegel@hanes.com:Dean Spriegel - Planning Domain Lead;","","Planning","","IBP-Production Source-PBALANCERECEIPTSCOPE"
"Describe Tax Number(CALA/Vietnam)","Txt fld in Lawson to describe Tax Number(CALA/Vietnam)","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Supplier","","MDG-LFA1-ZZUSERNAME6"
"INVENTORY RECONCILIATION REPORT","This report showcases the quantity and the value difference between warehouse and SAP S/4","Approved","","","","","Charlie.Crews@hanes.com:Charlie Crews - Director, Enterprise Data & Governance;","","General","",""
"Rep Style (APS)","
THE rep STYLE must have THE same corporate division AS THE STYLE.  Rep STYLE will DEFAULT TO THE garment STYLE, but can be different.   IF THE rep STYLE IS different THAN THE CURRENT STYLE you are setting up, it must exist ON THE STYLE TABLE.      ","Approved","","","","","Catherine.Brown@hanes.com:Cathy Brown;","","Material-Product","","APS-STYLE-REP_STYLE"
"Gross Wholesale Cost (IBP)","The Gross Whole Sale Cost of the product prior to customer discounts, etc.","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Material-Product","","IBP-Product-ZZGRWHSCST"
"PRODUCT AVAILABILITY CHECK (PAC)","Chack available inventory without RLT","Approved","","","","","Charlie.Crews@hanes.com:Charlie Crews - Director, Enterprise Data & Governance;","","General","",""
"Store Number","Identifies the customer ship to store number","Draft","","","Store","Paola.Marsal@hanes.com: Paola Marsal - Sr. Manager Customer Service;","Kimberly.Beardsley@hanes.com:Kim Beardsley-Customer Domain Lead;","","Customer","Customer Store Number","MDG-KNVV-FSH_MSOPID"
"Overdelivery Tolerance Limit","Over-delivery tolerances in a purchase order item is allowed if it is defined in the delivery tab of the item, as well as Unlimited over-delivery. A message is not issued if the total of delivered quantities lies within the over-delivery tolerance. If the total entered is over the tolerance, an error message is raised.","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Purchasing Info Record","","MDG-EINE-UEBTO"
"Production Lead Time CV (IBP)","The replenishment lead time represents the total period of time which is required to procure or manufacture an item. The replenishment lead time is mainly used by the availability check to calculate the material availability date.","Approved","","","","","dean.spriegel@hanes.com:Dean Spriegel - Planning Domain Lead;","","Planning","","IBP-Production Source-PLEADTIMEVARIABILITY"
"Client","is the field which differenciates the table from Client the data is in","Draft","","Client (AFS);Client;","","Paola.Marsal@hanes.com: Paola Marsal - Sr. Manager Customer Service;","Kimberly.Beardsley@hanes.com:Kim Beardsley-Customer Domain Lead;","","Customer","SAP Client","MDG-All_MDG_Tables-MANDT"
"Volume (Actual Volume)","Space that the material occupies per unit of volume. The volume refers to the unit specified in the ""Volume unit"" field.
The volume and its unit always refer to the base unit of measure.","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Material-Product","","MDG-MARA-VOLUM"
"Cstn Type Code (APS)"," The construction type is a marketing categorization. ","Approved","","","","","Catherine.Brown@hanes.com:Cathy Brown;","","Material-Product","","APS-STYLE_CSW-CSTN_TYPE_CD"
"MINIMUM AMOUNT FOR DUNNING","Minimum amount allowed for each level of dunning is configured as 1 USD","Approved","","","","","Charlie.Crews@hanes.com:Charlie Crews - Director, Enterprise Data & Governance;","","General","",""
"Currency Key","Currency key for amounts in the system.","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Supplier","Currency","MDG-LFB1-WAERS"
"Prod feature sleevelength","Product feature representing sleeve length","Approved","","","","Lane.Bryant@hanes.com:PRODUCT DEV Lane Bryant (Sr Mgr);","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Material-Product","","MDG-MARA-ZZPRODFEATURE_SLEEVELENGTH"
"RESERVED ALLOCATION STATUS","Allocation status that indicates that product has been allocated to an order but that the allocation percentage has not yet reached the acceptable level that is required for delivery to the DC","Approved","","","","","Charlie.Crews@hanes.com:Charlie Crews - Director, Enterprise Data & Governance;","","General","",""
"Variable Purchase Order Unit Active","Used to allow the purchasing folks to order this material in any UOM they see fit. The UOM can be changed in the PO or the Source list.","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Purchasing Info Record","","MDG-EINA-VABME"
"Spinning Indicator (APS)","Indicator If Plant Is A Spinning Plant","Approved","","","","","Catherine.Brown@hanes.com:Cathy Brown;","","Site","","APS-PLANT-SPINNING IND"
"Distribution Indicator (APS)","Indicator If Plant Is A Distribution Plant","Approved","","","","","Catherine.Brown@hanes.com:Cathy Brown;","","Site","","APS-PLANT-DISTRIBUTION IND"
"Trading Partner","Company ID of trading partner information.","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Supplier","","MDG-LFA1-VBUND"
"VARIANT","Stored selection criteria. Instead of entering selection criteria each time you start a report, you can enter them once and save them as a selection variant","Approved","","","","","Charlie.Crews@hanes.com:Charlie Crews - Director, Enterprise Data & Governance;","","General","",""
"VARIANT ARTICLE / MATERIAL","Are the variation of the article / material.  Variants are only differ from one another in certain characteristics","Approved","","","","","Charlie.Crews@hanes.com:Charlie Crews - Director, Enterprise Data & Governance;","","General","",""
"Product Family (IBP)","Indicates the Product Grouping/family/collection to which the product belongs. This is similar to Product Line today.
EX Values: Game Day, Powerblend, Classic","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Material-Product","","IBP-Product-PRDFAMILY"
"Incoterm 1 (AFS)","Commonly used trading terms that comply with the standards established by the International Chamber of Commerce (ICC). Use Incoterms specify internationally recognized procedures that the shipper and the receiving party must follow for the shipping transaction to be completed successfully.","Approved","","","","Paola.Marsal@hanes.com: Sr. Mgr Customer Service;","Kimberly.Beardsley@hanes.com:Kim Beardsley-Customer Domain Lead;","","Customer","","AFS-KNVV-INCO1"
"Features Single Selection","Selections based on the style and color","Approved","","","","Lane.Bryant@hanes.com:PRODUCT DEV Lane Bryant (Sr Mgr);","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Material-Product","","MDG-MARA-ZZFEATURESINGSEL"
"Bom Seq No (APS)","
THE sequential NUMBER that represents THE ORDER IN which a product assigned a bill OF MATERIALS ID was constructed FROM beginning TO END","Approved","","","","","Catherine.Brown@hanes.com:Cathy Brown;","","Material-Product","","APS-BILL_OF_MTRLS-BOM_SEQ_NO"
"Early Setup Indicator (APS)","Flag for Early Setup","Approved","","","","","Catherine.Brown@hanes.com:Cathy Brown;","","Material-Product","","APS-SKU_REVISION-EARLY_SETUP_IND"
"Category","An item category defines how a line item behaves in sales transaction. SAP Uses Item category to process a material differently in each sales document type. e.g. AFX � It is inquiry Item category ,it is not relevant for billing.","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Material-Product","","MDG-Derived from MDG MARA-MATKL, MDG-Product Category segment"
"Storage Code (APS)","Storage code is only required for Printables skus.  This field was previously known as domestic release facility.  
""	Storage Code- A storage code can not be changed until the previous storage code release has completed. 
   ","Approved","","","","","Catherine.Brown@hanes.com:Cathy Brown;","","Material-Product","","APS-SKU_REVISION-STORAGE_CD"
